message;severity;node;stamp;location
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.354401757";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.348256342";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.335626998";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.321739122";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.458644698";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.307429380";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.124368025";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.659888096";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.276617900";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.222737260";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.220670595";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.217245487";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.689426858";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.671227498";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.666208072";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.661066150";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.658526660";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.651192565";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.632797131";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
