message;severity;node;stamp;location
"x: 2.078593; y: 1.065725; omega: 1.491722";"20";"tug_turtlebot4.simple_turtle";"1734542447.179837367";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078594; y: 1.065134; omega: 1.492021";"20";"tug_turtlebot4.simple_turtle";"1734542447.175213803";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.064488; omega: 1.492347";"20";"tug_turtlebot4.simple_turtle";"1734542447.172227535";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078600; y: 1.063030; omega: 1.493084";"20";"tug_turtlebot4.simple_turtle";"1734542447.165515511";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078606; y: 1.061350; omega: 1.493933";"20";"tug_turtlebot4.simple_turtle";"1734542447.157242323";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078610; y: 1.060428; omega: 1.494399";"20";"tug_turtlebot4.simple_turtle";"1734542447.153304268";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078614; y: 1.059451; omega: 1.494893";"20";"tug_turtlebot4.simple_turtle";"1734542447.148905236";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078618; y: 1.058418; omega: 1.495414";"20";"tug_turtlebot4.simple_turtle";"1734542447.146047960";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078623; y: 1.057330; omega: 1.495962";"20";"tug_turtlebot4.simple_turtle";"1734542447.143114315";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078627; y: 1.056185; omega: 1.496540";"20";"tug_turtlebot4.simple_turtle";"1734542447.138663296";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078632; y: 1.054981; omega: 1.497149";"20";"tug_turtlebot4.simple_turtle";"1734542447.133374854";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078625; y: 1.053719; omega: 1.497804";"20";"tug_turtlebot4.simple_turtle";"1734542447.130793421";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078622; y: 1.052444; omega: 1.498190";"20";"tug_turtlebot4.simple_turtle";"1734542447.126605870";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078609; y: 1.051152; omega: 1.498341";"20";"tug_turtlebot4.simple_turtle";"1734542447.121897836";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078509; y: 1.049780; omega: 1.498382";"20";"tug_turtlebot4.simple_turtle";"1734542447.118324223";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
