message;severity;node;stamp;location
"ENCODER: x: 1.013663; y: 3.119344; omega: 4.878254";"20";"tug_turtlebot4.simple_turtle";"1734544747.120087292";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.988106; y: 3.054453; omega: -1.395393";"20";"tug_turtlebot4.simple_turtle";"1734544747.119938795";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.015547; y: 3.108086; omega: 4.878286";"20";"tug_turtlebot4.simple_turtle";"1734544747.088811214";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.990089; y: 3.043254; omega: -1.395735";"20";"tug_turtlebot4.simple_turtle";"1734544747.088588232";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.017566; y: 3.096007; omega: 4.877917";"20";"tug_turtlebot4.simple_turtle";"1734544747.054101463";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.992208; y: 3.031260; omega: -1.396102";"20";"tug_turtlebot4.simple_turtle";"1734544747.054006622";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.019715; y: 3.083107; omega: 4.877148";"20";"tug_turtlebot4.simple_turtle";"1734544747.021904456";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.994462; y: 3.018469; omega: -1.396493";"20";"tug_turtlebot4.simple_turtle";"1734544747.021724438";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.021966; y: 3.069559; omega: 4.876734";"20";"tug_turtlebot4.simple_turtle";"1734544746.989113792";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.996831; y: 3.005001; omega: -1.396905";"20";"tug_turtlebot4.simple_turtle";"1734544746.988973994";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.024226; y: 3.055924; omega: 4.876318";"20";"tug_turtlebot4.simple_turtle";"1734544746.956562245";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.999208; y: 2.991454; omega: -1.397319";"20";"tug_turtlebot4.simple_turtle";"1734544746.956431305";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.026482; y: 3.042288; omega: 4.875902";"20";"tug_turtlebot4.simple_turtle";"1734544746.922928337";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.001579; y: 2.977905; omega: -1.397733";"20";"tug_turtlebot4.simple_turtle";"1734544746.922809039";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.028731; y: 3.028651; omega: 4.875486";"20";"tug_turtlebot4.simple_turtle";"1734544746.892366553";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.003944; y: 2.964355; omega: -1.398147";"20";"tug_turtlebot4.simple_turtle";"1734544746.892074936";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.030974; y: 3.015013; omega: 4.875069";"20";"tug_turtlebot4.simple_turtle";"1734544746.857082367";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.006304; y: 2.950804; omega: -1.398561";"20";"tug_turtlebot4.simple_turtle";"1734544746.856948630";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
