x_dis,y_diy,yaw,time
1.05559,-0.019539,-1.10366,8.712
1.05568,-0.0197545,-1.13355,8.742
1.05578,-0.0199728,-1.16345,8.772
1.05586,-0.0201937,-1.19334,8.802
1.05594,-0.0204171,-1.22324,8.832
1.05601,-0.0206427,-1.25313,8.862
1.05608,-0.0208703,-1.28303,8.892
1.05613,-0.0210998,-1.31292,8.922
1.05618,-0.0213309,-1.34282,8.952
1.05623,-0.0215634,-1.37271,8.982
1.05627,-0.0217972,-1.40261,9.012
1.0563,-0.0220319,-1.4325,9.042
1.05632,-0.0222675,-1.4624,9.072
1.05633,-0.0225036,-1.49229,9.102
1.05634,-0.0227401,-1.52219,9.132
1.05635,-0.0229767,-1.55208,9.162
1.05634,-0.0232133,-1.58198,9.192
1.05633,-0.0234497,-1.61187,9.222
1.05631,-0.0236855,-1.64177,9.252
1.05628,-0.0239207,-1.67166,9.282
1.05625,-0.024155,-1.70156,9.312
1.05621,-0.0243882,-1.73145,9.342
1.05616,-0.02462,-1.76135,9.372
1.05611,-0.0248504,-1.79124,9.402
1.05605,-0.025079,-1.82114,9.432
1.05598,-0.0253057,-1.85103,9.462
1.0559,-0.0255303,-1.88093,9.492
1.05582,-0.0257525,-1.91082,9.522
1.05573,-0.0259722,-1.94072,9.552
1.05564,-0.0261892,-1.97062,9.582
1.05554,-0.0264032,-2.00051,9.612
1.05543,-0.0266142,-2.03041,9.642
1.05532,-0.0268218,-2.0603,9.672
1.0552,-0.0270259,-2.0902,9.702
1.05507,-0.0272264,-2.12009,9.732
1.05494,-0.0274231,-2.14999,9.762
1.0548,-0.0276157,-2.17988,9.792
1.05466,-0.0278041,-2.20978,9.822
1.05451,-0.0279881,-2.23967,9.852
1.05436,-0.0281676,-2.26957,9.882
1.0542,-0.0283425,-2.29946,9.912
1.05403,-0.0285124,-2.32936,9.942
1.05386,-0.0286774,-2.35925,9.975
1.05369,-0.0288373,-2.38915,10.002
1.05351,-0.0289918,-2.41904,10.032
1.05333,-0.0291375,-2.44824,10.062
1.05318,-0.02925,-2.47156,10.092
1.05308,-0.029327,-2.48794,10.122
1.05302,-0.0293706,-2.4974,10.152
1.053,-0.0293822,-2.49993,10.182
1.05303,-0.0293621,-2.49553,10.212
1.0531,-0.0293097,-2.4842,10.242
1.05322,-0.0292236,-2.46595,10.272
1.05338,-0.0291014,-2.44076,10.302
1.05356,-0.0289519,-2.41098,10.332
1.05374,-0.0287964,-2.38108,10.362
1.05391,-0.0286357,-2.35119,10.395
1.05408,-0.0284699,-2.32129,10.422
1.05424,-0.0282991,-2.2914,10.452
1.0544,-0.0281234,-2.2615,10.482
1.05455,-0.0279431,-2.23161,10.512
1.0547,-0.0277583,-2.20171,10.542
1.05484,-0.0275692,-2.17182,10.572
1.05498,-0.0273759,-2.14192,10.602
1.05511,-0.0271786,-2.11203,10.632
1.05524,-0.0269775,-2.08213,10.662
1.05536,-0.0267727,-2.05224,10.692
1.05547,-0.0265645,-2.02234,10.722
1.05557,-0.0263531,-1.99245,10.752
1.05567,-0.0261385,-1.96255,10.782
1.05577,-0.025921,-1.93266,10.812
1.05585,-0.0257009,-1.90276,10.842
1.05593,-0.0254783,-1.87287,10.872
1.05601,-0.0252533,-1.84297,10.902
1.05608,-0.0250263,-1.81308,10.932
1.05614,-0.0247974,-1.78318,10.962
1.05619,-0.0245667,-1.75329,10.995
1.05623,-0.0243346,-1.72339,11.025
1.05627,-0.0241012,-1.6935,11.052
1.05631,-0.0238668,-1.6636,11.082
1.05633,-0.0236315,-1.6337,11.112
1.05635,-0.0233955,-1.60381,11.142
1.05636,-0.0231591,-1.57391,11.172
1.05636,-0.0229225,-1.54402,11.202
1.05636,-0.0226859,-1.51412,11.232
1.05635,-0.0224494,-1.48423,11.262
1.05633,-0.0222134,-1.45433,11.292
1.05631,-0.021978,-1.42444,11.322
1.05628,-0.0217434,-1.39454,11.352
1.05624,-0.0215098,-1.36465,11.382
1.0562,-0.0212775,-1.33475,11.412
1.05614,-0.0210467,-1.30486,11.442
1.05608,-0.0208175,-1.27496,11.472
1.05602,-0.0205902,-1.24507,11.502
1.05595,-0.0203649,-1.21517,11.532
1.05587,-0.020142,-1.18528,11.562
1.05578,-0.0199215,-1.15538,11.592
1.05569,-0.0197036,-1.12549,11.622
1.05559,-0.0194886,-1.09559,11.652
1.05548,-0.0192767,-1.0657,11.682
1.05537,-0.019068,-1.0358,11.712
1.05525,-0.0188628,-1.00591,11.742
1.05513,-0.0186612,-0.976013,11.772
1.055,-0.0184633,-0.946118,11.802
1.05486,-0.0182694,-0.916223,11.832
1.05472,-0.0180797,-0.886328,11.862
1.05458,-0.0178943,-0.856433,11.892
1.05442,-0.0177133,-0.826538,11.922
1.05427,-0.017537,-0.796643,11.952
1.0541,-0.0173655,-0.766748,11.982
1.05393,-0.017199,-0.736852,12.012
1.05376,-0.0170375,-0.706957,12.042
1.05358,-0.0168813,-0.677062,12.072
1.0534,-0.0167305,-0.647167,12.102
1.05321,-0.0165852,-0.617272,12.132
1.05302,-0.0164455,-0.587377,12.162
1.05283,-0.0163117,-0.557482,12.192
1.05263,-0.0161837,-0.527587,12.222
1.05243,-0.0160617,-0.497692,12.252
1.05222,-0.0159458,-0.467797,12.282
1.05201,-0.0158362,-0.437902,12.315
1.0518,-0.0157328,-0.408006,12.342
1.05158,-0.0156359,-0.378111,12.372
1.05136,-0.0155455,-0.348216,12.402
1.05114,-0.0154617,-0.318321,12.432
1.05092,-0.0153845,-0.288426,12.462
1.05069,-0.015314,-0.258531,12.492
1.05046,-0.0152503,-0.228636,12.522
1.05023,-0.0151935,-0.198741,12.552
1.05047,-0.0152301,-0.17267,12.582
1.05156,-0.0154036,-0.153551,12.612
1.05347,-0.0156833,-0.138625,12.645
1.0562,-0.0160405,-0.123764,12.672
1.05973,-0.0164517,-0.108927,12.702
1.06407,-0.0168928,-0.0941145,12.732
1.06922,-0.0173401,-0.0793262,12.762
1.07518,-0.01777,-0.0645622,12.792
1.08196,-0.0181585,-0.0498225,12.822
1.08954,-0.0184822,-0.0351071,12.852
1.09794,-0.0187173,-0.020416,12.882
1.10714,-0.0188402,-0.00574924,12.912
1.11716,-0.0188276,0.00889321,12.942
1.12798,-0.018656,0.0235113,12.972
1.1396,-0.018302,0.0381052,13.002
1.15202,-0.0177426,0.0526747,13.032
